Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
FM 88.3 - La Tecno;Av. Mitre y Diagonal Ramón Franco - Villa Dominico - Buenos Aires, Argentina ;Interés general;Radio;Villa Dominico;Buenos Aires;Interés general;0
FM 88.5 - Acción;*;Interés general;Radio;Gral. Rodriguez;Buenos Aires;Interés general;0
FM 88.5 - Ecodelta;*;Interés general;Radio;Tigre;Buenos Aires;Interés general;0
FM 88.5 - Nueva Argentina;*;Interés general;Radio;Ituzaingó;Buenos Aires;Interés general;0
FM 88.5 - Nuevo Tiempo;*;Religión;Radio;Morón;Buenos Aires;Religión;0
FM 88.5 - Panamericana;*;Interés general;Radio;Belén de Escobar;Buenos Aires;Interés general;0
FM 88.5 - Raíces;*;Religión;Radio;José León Suárez;Buenos Aires;Religión;0
FM 88.5 - Vintage;*;Interés general;Radio;Monte Grande;Buenos Aires;Interés general;0
FM 88.7 - Agricultura;*;Interés general;Radio;Blaquier;Buenos Aires;Interés general;0
FM 88.7 - De la Azotea;*;Interés general;Radio;Mar del Plata;Buenos Aires;Interés general;0
FM 88.7 - Impacto;*;Interés general;Radio;Tigre;Buenos Aires;Interés general;0
FM 88.7 - Stereo;*;Música;Radio;Campana;Buenos Aires;Música;0
FM 88.7 - X1 Radio;*;Interés general;Radio;Pehuajó;Buenos Aires;Interés general;0
FM 88.9 - El Debate;*;Interés general;Radio;Zárate;Buenos Aires;Interés general;0
FM 88.9 - Mediterráneo;*;Interés general;Radio;S. Clara del Mar;Buenos Aires;Interés general;0
FM 88.9 - Renuevo;*;Religión;Radio;Benavidez;Buenos Aires;Religión;0
FM 89.1 - Latina;*;Interés general;Radio;Bahía Blanca;Buenos Aires;Interés general;0
FM 89.1 - Norte;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 89.1 - Popular;Potrerillos 1246 - (1849) Claypole - Buenos Aires, Argentina;Interés general;Radio;Claypole;Buenos Aires;Interés general;0
FM 89.1 - Touché;*;Música;Radio;San Isidro;Buenos Aires;Música;0
FM 89.3 - Cadena Cumbia Latina;Ayacucho 36 - Lobos - Buenos Aires, Argentina;Música;Radio;Lobos;Buenos Aires;Música;0
FM 89.3 - Libertador;Fonrouge 310 - Lomas de Zamora - Buenos Aires, Argentina;Interés general;Radio;Lomas de Zamora;Buenos Aires;Interés general;0
FM 89.3 - Maranata;*;Religión;Radio;Lomas del Mirador;Buenos Aires;Religión;0
FM 89.5 - Del Sol;*;Interés general;Radio;Alberti;Buenos Aires;Interés general;0
FM 89.5 - Estacion Century;*;Interés general;Radio;Berisso;Buenos Aires;Interés general;0
FM 89.5 - FM Q;Yrigoyen 619 1ºJ - Quilmes - Argentina ;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 89.5 - Las Americas;*;Interés general;Radio;Bahía Blanca;Buenos Aires;Interés general;0
FM 89.5 - Laser;*;Interés general;Radio;Mar del Plata;Buenos Aires;Interés general;0
FM 89.5 - Power 89;*;Interés general;Radio;Casbas;Buenos Aires;Interés general;0
FM 89.5 - Sol Disco;*;Música;Radio;Tandil;Buenos Aires;Música;0
FM 89.5 - Unión;*;Interés general;Radio;José León Suárez;Buenos Aires;Interés general;0
FM 89.7 - Container;*;Interés general;Radio;Mar de Ajó;Buenos Aires;Interés general;0
FM 89.7 - Infinita;*;Interés general;Radio;General Villegas;Buenos Aires;Interés general;0
FM 89.7 - Jireh;*;Religión;Radio;Campana;Buenos Aires;Religión;0
FM 89.7 - La Mil 35;*;Interés general;Radio;Campana;Buenos Aires;Interés general;0
FM 89.7 - Nueva;*;Interés general;Radio;Tres Arroyos;Buenos Aires;Interés general;0
FM 89.9 - Eclipse;*;Música;Radio;Don Torcuato;Buenos Aires;Música;0
FM 89.9 - Filadelfia;*;Música;Radio;Lincoln;Buenos Aires;Música;0
FM 89.9 - Sólido;*;Interés general;Radio;San Fernando;Catamarca;Interés general;0
FM 90.1 - Eich;*;*;Radio;Trenque Lauquen;Buenos Aires;*;0
FM 90.1 - Juventud;*;Folcklore;Radio;Florencio Varela;Buenos Aires;Folclore;1
FM 90.1 - Keops;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 90.1 - Libres del Sur;Casalins 355, E/ Chacabuco y Maipu - Chascomús - Buenos Aires, Argentina;Interés general;Radio;Chascomús;Buenos Aires;Interés general;0
FM 90.1 - Moreno;*;Interés general;Radio;Moreno;Buenos Aires;Interés general;0
FM 90.1 - Munkun;*;Interés general;Radio;Tandil;Buenos Aires;Interés general;0
FM 90.1 - Noventa. Uno;Valentín Vergara 1492 - Vicente López - Buenos Aires, Argentina;Interés general;Radio;Vicente López;Buenos Aires;Interés general;0
FM 90.1 - Triac;Av. Jauretche 1060, 1° píso – Hurlingham – Buenos Aires, Argentina;Música;Radio;Hurlingham;Buenos Aires;Música;0
FM 90.3 - Ambient;*;Música;Radio;Necochea;Buenos Aires;Música;0
FM 90.3 - Hope;*;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 90.3 - La Isla;*;Interés general;Radio;Villa Gesell;Buenos Aires;Interés general;0
FM 90.3 - Mágica;Beiró 630 - Villa Italia - Tandil - Buenos Aires, Argentina;Interés general;Radio;Tandil;Buenos Aires;Interés general;0
FM 90.3 - Melody;*;Interés general;Radio;Chacabuco;Buenos Aires;Interés general;0
FM 90.3 - Providencia;Av. Lacaze 3963 - Claypole - Buenos Aires, Argentina;Religión;Radio;Claypole;Buenos Aires;Religión;0
FM 90.3 - Ría Ajó;Pedro Luro 1296 - (7103) General Lavalle - Buenos Aires, Argentina  ;Interés general;Radio;Gral. Lavalle;Buenos Aires;Interés general;0
FM 90.5 - Centro;*;*;Radio;San Fernando;Catamarca;*;0
FM 90.5 - Emisora Mechongué;*;Interés general;Radio;Mechongué;Buenos Aires;Interés general;0
FM 90.5 - Estación;*;Música;Radio;Merlo;Buenos Aires;Música;0
FM 90.5 - Futura;Calle 75 Nro. 497 ½ esquina 5  - La Plata - Buenos Aires, Argentina;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 90.5 - La Palabra;*;Interés general;Radio;Ranchos;Buenos Aires;Interés general;0
FM 90.5 - Patagonia;*;Interés general;Radio;C de Patagones;Buenos Aires;Interés general;0
FM 90.7 - Estación;Mitre Nª 567 - (1980) Brandsen - Buenos Aires, Argentina;Interés general;Radio;Brandsen;Buenos Aires;Interés general;0
FM 90.7 - Free Way;*;Música;Radio;Ramos Mejía;Buenos Aires;Música;0
FM 90.7 - Impacto;Libertador San Martín 1572 - (7109) Mar de Ajó - Buenos Aires, Argentina;Interés general;Radio;Mar de Ajó;Buenos Aires;Interés general;0
FM 90.7 - La 100;*;Interés general;Radio;Lincoln;Buenos Aires;Interés general;0
FM 90.7 - La Medi;Martínez 2603 - Luján - Buenos Aires, Argentina;Música;Radio;Luján;Buenos Aires;Música;0
FM 90.7 - M del Rosario;*;Religión;Radio;Piñeyro;Buenos Aires;Religión;0
FM 90.7 - Mágica;Ayacucho 36 - Lobos - Buenos Aires, Argentina;Música;Radio;Lobos;Buenos Aires;Música;0
FM 90.7 - Mitre;Av. Savio 741 P.A. - (2900) San Nicolás - Buenos Aires, Argentina;Interés general;Radio;San Nicolás de los Arroyos;Buenos Aires;Interés general;0
FM 90.7 - Radio Mas;*;Música;Radio;Tandil;Buenos Aires;Música;0
FM 90.7 - Tropicalísima;*;Música;Radio;Bahía Blanca;Buenos Aires;Música;0
FM 90.9 - Antena 91;*;Interés general;Radio;Lomas de Zamora;Buenos Aires;Interés general;0
FM 90.9 - Del carmen;*;Interés general;Radio;C. de Patagones;Buenos Aires;Interés general;0
FM 90.9 - En Sueños;Belgrano 969 - Dolores - Buenos Aires, Argentina;Interés general;Radio;Dolores;Buenos Aires;Interés general;0
FM 90.9 - El Puente;Maximo Paz 620 - Zarate - Buenos Aires, Argentina;Interés general;Radio;Zárate;Buenos Aires;Interés general;0
FM 90.9 - Estéreo;*;Música;Radio;La Plata;Buenos Aires;Música;0
FM 90.9 - Misión 2000;Av. Crovara y Cristiania - Isidro Casanova - Buenos Aires,  Argentina;Religión;Radio;Isidro Casanova;Buenos Aires;Religión;0
FM 90.9 - NP3 Radio;*;Interés general;Radio;San Fernando;Catamarca;Interés general;0
FM 90.9 - Radio X;*;*;Radio;Tres Arroyos;Buenos Aires;*;0
FM 90.9 - Rotonda;*;*;Radio;Billinghurst;Buenos Aires;*;0
FM 90.9 - Zíngara;*;Interés general;Radio;Caseros;Buenos Aires;Interés general;0
FM 91.1 - Ciudad;*;Interés general;Radio;Merlo;Buenos Aires;Interés general;0
FM 91.1 - De la Ciudad;Avenida Eduardo Casey 320 - (8170) Pigüé - Buenos Aires, Argentina;Interés general;Radio;Pergamino;Buenos Aires;Interés general;0
FM 91.1 - Delta;*;Interés general;Radio;Tigre;Buenos Aires;Interés general;0
FM 91.1 - Fantástica;*;Interés general;Radio;Luján;Buenos Aires;Interés general;0
FM 91.1 - Frecuencia 9;Soldado del Desierto 644 - Garré - Buenos Aires, Argentina;Interés general;Radio;Garré;Buenos Aires;Interés general;0
FM 91.1 - Malvinas Rock;*;Música;Radio;Bahía Blanca;Buenos Aires;Música;0
FM 91.1 - Nexo;*;Música;Radio;Junín;Buenos Aires;Música;0
FM 91.1 - Positiva;*;Interés general;Radio;Gral. Rodriguez;Buenos Aires;Interés general;0
FM 91.1 - Radio Si;*;Música;Radio;Martínez;Buenos Aires;Música;0
FM 91.1 - Villegas;*;Interés general;Radio;Gral. Villegas;Buenos Aires;Interés general;0
FM 91.3 - 40 Principales;*;Música;Radio;La Plata;Buenos Aires;Música;0
FM 91.3 - Cadena Música;Ayacucho 36 - Lobos - Buenos Aires, Argentina;Música;Radio;Lobos;Buenos Aires;Música;0
FM 91.3 - La R;*;Interés general;Radio;Rauch;Buenos Aires;Interés general;0
FM 91.3 - Laser;Almirón 428 - Carlos Tejedor - Buenos Aires, Argentina;Interés general;Radio;Carlos Tejedor;Buenos Aires;Interés general;0
FM 91.3 - Radio A;*;Religión;Radio;Villa Dominico;Buenos Aires;Religión;0
FM 91.5 - Atlántica;*;Interés general;Radio;Necochea;Buenos Aires;Interés general;0
FM 91.5 - Beach;*;Interés general;Radio;Villa Gesell;Buenos Aires;Interés general;0
FM 91.5 - Del sol;San Martín 128 - Pilar - Buenos Aires, Argentina;Interés general;Radio;Pilar;Buenos Aires;Interés general;0
FM 91.5 - Eich;*;Interés general;Radio;Azul;Buenos Aires;Interés general;0
FM 91.5 - Malvinas;*;Interés general;Radio;Monte Grande;Buenos Aires;Interés general;0
FM 91.5 - Radio RK;Avenida Vicente López 1356 - (1878) Quilmes - Buenos Aires, Argentina;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 91.5 - RTL;*;Música;Radio;Pergamino;Buenos Aires;Música;0
FM 91.7 - Acción;*;Música;Radio;Mercedes;Buenos Aires;Música;0
FM 91.7 - Estación Sur;42 N° 565 e/ 6 y 7 - (1900) La Plata - Buenos Aires, Argentina ;Música;Radio;La Plata;Buenos Aires;Música;0
FM 91.7 - Magic;*;Música;Radio;San Miguel del Monte;Buenos Aires;Música;0
FM 91.7 - News;CALLE 14 No. 635 - (7620) Balcarce - Buenos Aires, Argentina;Interés general;Radio;Balcarce;Buenos Aires;Interés general;0
FM 91.9 - Bangkok;*;Interés general;Radio;Henderson;Buenos Aires;Interés general;0
FM 91.9 - FM 10 Diez;*;Interés general;Radio;Pedro Luro;Buenos Aires;Interés general;0
FM 91.9 - Júpiter;Bernardino Esperanza 238 - (2741) Salto - Buenos Aires, Argentina;Interés general;Radio;Salto;Buenos Aires;Interés general;0
FM 91.9 - Remo;*;Interés general;Radio;Loma Hermosa;Buenos Aires;Interés general;0
FM 92.1 - Box;*;Interés general;Radio;Pinamar;Buenos Aires;Interés general;0
FM 92.1 - Compacto;Amparo Castro 1019 - Olavarría - Buenos Aires, Argentina;Interés general;Radio;Necochea;Buenos Aires;Interés general;0
FM 92.1 - La Metro;*;Música;Radio;Azul;Buenos Aires;Música;0
FM 92.1 - Plaza;*;Interés general;Radio;Pilar;Buenos Aires;Interés general;0
FM 92.1 - Pontevedra;Av. de la Unión 2372 - Pontevedra - Buenos Aires. Argentina;Interés general;Radio;Pontevedra;Buenos Aires;Interés general;0
FM 92.1 - San Gabriel;*;Interés general;Radio;Bragado;Buenos Aires;Interés general;0
FM 92.1 - Tiempo;Calle 37 Nº 663 - Santa Teresita - Buenos Aires, Argentina ;Interés general;Radio;Santa Teresita;Buenos Aires;Interés general;0
FM 92.3 - Eich;*;Interés general;Radio;Saladillo;Buenos Aires;Interés general;0
FM 92.3 - Lider;*;Interés general;Radio;Andalgalá;Catamarca;Interés general;0
FM 92.3 - Municipal;*;Interés general;Radio;Carlos Tejedor;Buenos Aires;Interés general;0
FM 92.3 - Victoria;*;Religión;Radio;Quilmes;Buenos Aires;Religión;0
FM 92.5 - Alfonzo;*;Interés general;Radio;Mariano H. Alfonzo;Buenos Aires;Interés general;0
FM 92.5 - Amanecer;*;*;Radio;Henderson;Buenos Aires;*;0
FM 92.5 - América;*;Interés general;Radio;América;Buenos Aires;Interés general;0
FM 92.5 - Bio Rock;Pellegrini 137 - Chivilcoy - Buenos Aires, Argentina ;Música;Radio;Chivilcoy;Buenos Aires;Música;0
FM 92.5 - Boreal;Ejército de los Andes esq. El Talero, Ruta 8 km.70,500 - Exaltación de la Cruz - Buenos Aires, Argentina;Interés general;Radio;Capilla del Señor;Buenos Aires;Interés general;0
FM 92.5 - Ekko;Puan 323 - (7300) Azul - Buenos Aires, Argentina ;Música;Radio;Azul;Buenos Aires;Música;0
FM 92.5 - Estudiantil;San Martin 472 - Carmen de Areco - Buenos Aires, Argentina;Educación;Radio;Carmen de Areco;Buenos Aires;Educación;0
FM 92.5 - Manantial de Vida;Av. Mitre 1836 (entre 18 y 18A) - Berazategui - Buenos Aires, Argentina;Religión;Radio;Berazategui;Buenos Aires;Religión;0
FM 92.5 - Signos;Av. Mitre 2255, local 3 - (1650) Munro, Argentina;Interés general;Radio;Munro;Buenos Aires;Interés general;0
FM 92.7 - Corazón;*;Espectáculos;Radio;San Nicolás;Buenos Aires;Espectáculo;1
FM 92.7 - Estilo;*;Interés general;Radio;Gral. Lamadrid;Buenos Aires;Interés general;0
FM 92.7 - Lider;*;Interés general;Radio;Mar del Plata;Buenos Aires;Interés general;0
FM 92.7 - Máxima;*;Interés general;Radio;Bonifacio;Buenos Aires;Interés general;0
FM 92.9 - Andina;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 92.9 - Eli-T;Alvear 90 - (1878) Quilmes - Buenos Aires, Argentina 
;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 93.1 - Diamante;*;Interés general;Radio;9 de Julio;Buenos Aires;Interés general;0
FM 93.1 - Diamante;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 93.3 - Bus;Av. Pte Peron 4133 - San Martin - Buenos Aires, Argentina ;Música;Radio;San Martín;Buenos Aires;Música;0
FM 93.3 - Del Aire;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 93.3 - Estilo;*;Interés general;Radio;Fray Mrto. Esquiú;Buenos Aires;Interés general;0
FM 93.3 - Nativa;Italia 132 - (6237) América - Buenos Aires, Argentina;Interés general;Radio;América;Buenos Aires;Interés general;0
FM 93.3 - Radio City;Moreno 280 - Dolores - Buenos Aires, Argentina;Interés general;Radio;Dolores;Buenos Aires;Interés general;0
FM 93.3 - Radio Ele;*;Interés general;Radio;Lomas de Zamora;Buenos Aires;Interés general;0
FM 93.5 - 93 1/2 Clasicos;*;*;Radio;San Fernando;Catamarca;*;0
FM 93.5 - Digital;*;*;Radio;Pablo Nogués;Buenos Aires;*;0
FM 93.5 - Eich;*;*;Radio;Tandil;Buenos Aires;*;0
FM 93.5 - FM 10;*;Interés general;Radio;Capitán Sarmiento;Buenos Aires;Interés general;0
FM 93.5 - FM 30;*;Interés general;Radio;30 de Agosto;Buenos Aires;Interés general;0
FM 93.5 - General Pinto;*;Interés general;Radio;General Pinto;Buenos Aires;Interés general;0
FM 93.5 - La Radio;*;Interés general;Radio;Necochea;Buenos Aires;Interés general;0
FM 93.5 - La Voz;*;Interés general;Radio;Recreo;Catamarca;Interés general;0
FM 93.5 - Libertad;*;Interés general;Radio;Libertad  ;Buenos Aires;Interés general;0
FM 93.5 - Nativa;*;Folcklore;Radio;Santa Teresita;Buenos Aires;Folclore;1
FM 93.5 - Reina del Cielo;Ntra. Sra. de la Merced 4624 - (1678) Caseros - Buenos Aires, Argentina;Religión;Radio;Caseros;Buenos Aires;Religión;0
FM 93.7 - Del Este;Rivadavia nº 53  - (7114) Castelli - Buenos Aires, Argentina;Interés general;Radio;Castelli;Buenos Aires;Interés general;0
FM 93.9 - Asteroides;*;Interés general;Radio;Jáuregui;Buenos Aires;Interés general;0
FM 93.9 - Ciudad;Valentín Alsina 936 - Zárate - Buenos Aires, Argentina;Interés general;Radio;Zárate;Buenos Aires;Interés general;0
FM 93.9 - En Tránsito;Avellaneda 1060 Dto. D - Castelar - Buenos Aires, Argentina;Interés general;Radio;Castelar;Buenos Aires;Interés general;0
FM 93.9 - Fénix;*;Interés general;Radio;Mercedes;Buenos Aires;Interés general;0
FM 93.9 - La Querencia;*;Folcklore;Radio;Rafael Calzada;Buenos Aires;Folclore;1
FM 93.9 - Radio Visión;*;Interés general;Radio;Pomán;Catamarca;Interés general;0
FM 93.9 - Síncope;*;Interés general;Radio;Carmen de Areco;Buenos Aires;Interés general;0
FM 94.1 - Clásica;*;Interés general;Radio;San A. de Areco;Buenos Aires;Interés general;0
FM 94.1 - Mi Ciudad;*;Música;Radio;Barranqueras;Chaco;Música;0
FM 94.1 - Oasis;*;Interés general;Radio;Gral. Rodriguez;Buenos Aires;Interés general;0
FM 94.1 - RCT;*;Interés general;Radio;Hurligham;Buenos Aires;Interés general;0
FM 94.1 - Ultra;Del Cazon 1284 - Pinamar - Buenos Aires, Argentina;Interés general;Radio;Pinamar;Buenos Aires;Interés general;0
FM 94.3 - Friday Harbor;*;Interés general;Radio;Lincoln;Buenos Aires;Interés general;0
FM 94.3 - Génesis;*;Música;Radio;Trenque Lauquen;Buenos Aires;Música;0
FM 94.3 - Quo Vadis;*;*;Radio;San Nicolás;Buenos Aires;*;0
FM 94.5 - Ciudad;Necochea 1059 -  (7635) Loberia - Buenos Aires, Argentina;Interés general;Radio;Lobería;Buenos Aires;Interés general;0
FM 94.5 - Cristal;*;Interés general;Radio;Pergamino;Buenos Aires;Interés general;0
FM 94.5 - Radio Go;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 94.7 - Ciudad;Rodriguez 55 - (8000) Bahía Blanca - Buenos Aires, Argentina;Música;Radio;Bahía Blanca;Buenos Aires;Música;0
FM 94.7 - Del Mar;*;Música;Radio;Villa Gesell;Buenos Aires;Música;0
FM 94.7 - Shake;*;*;Radio;Banfield;Buenos Aires;*;0
FM 94.9 - 94.9 MHZ;San Martín 2180 - Galería Bristol Center - Mar del Plata - Buenos Aires, Argentina;Música;Radio;Mar del Plata;Buenos Aires;Música;0
FM 94.9 - Cielo;Alfonsina Storni 36, Barrio Gral. Paz - Villa Celina - Buenos Aires, Argentina ;Religión;Radio;Villa Celina;Buenos Aires;Religión;0
FM 94.9 - Emociones;Pte. Roca 578 - (2900) San Nicolás - Buenos Aires, Argentina ;Interés general;Radio;San Nicolás;Buenos Aires;Interés general;0
FM 94.9 - Impacto;Moreno 174 - (8129) Felipe Solá - Buenos Aires, Argentina;Interés general;Radio;Felipe Solá;Buenos Aires;Interés general;0
FM 94.9 - Party;*;Música;Radio;San Justo;Buenos Aires;Música;0
FM 94.9 - Pura;*;Música;Radio;Salto;Buenos Aires;Música;0
FM 94.9 - Red;*;Interés general;Radio;Dolores;Buenos Aires;Interés general;0
FM 94.9 - Urbana;Juan Jose Paso 24 - (6230) General Villegas - Buenos Aires, Argentina;Interés general;Radio;Gral. Villegas;Buenos Aires;Interés general;0
FM 95.1 - Centro;*;Interés general;Radio;Daireaux;Buenos Aires;Interés general;0
FM 95.1 - Oasis;*;Música;Radio;Villa Iris;Buenos Aires;Música;0
FM 95.1 - Sol;*;Interés general;Radio;Martinez de Hoz;Buenos Aires;Interés general;0
FM 95.3 - Ciudad;*;Interés general;Radio;Huanguelén;Buenos Aires;Interés general;0
FM 95.3 - Dorrego;*;Interés general;Radio;Navarro;Buenos Aires;Interés general;0
FM 95.3 - Proyección;*;Interés general;Radio;Pehuajó;Buenos Aires;Interés general;0
FM 95.3 - Vega;*;Interés general;Radio;Villa Bosch;Buenos Aires;Interés general;0
FM 95.3 - Volver;*;Interés general;Radio;Chascomús;Buenos Aires;Interés general;0
FM 95.5 - Activa;*;Interés general;Radio;Lincoln;Buenos Aires;Interés general;0
FM 95.5 - Ciudad;*;Interés general;Radio;Mercedes;Buenos Aires;Interés general;0
FM 95.5 - De la Ciudad;*;Interés general;Radio;Benito Juarez;Buenos Aires;Interés general;0
FM 95.5 - Frecuencia M;*;Música;Radio;Quilmes;Buenos Aires;Música;0
FM 95.5 - Imaginaria;Argentina 748 - (1704) Ramos Mejía - Buenos Aires, Argentina  ;Interés general;Radio;Ramos Mejía;Buenos Aires;Interés general;0
FM 95.5 - San Isidro Labrador;Av. Centenario 456, piso 7 - (1642) San Isidro - Buenos Aires, Argentina;Interés general;Radio;San Isidro;Buenos Aires;Interés general;0
FM 95.7 - Capital;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 95.7 - Digital;*;Interés general;Radio;Santa Teresita;Buenos Aires;Interés general;0
FM 95.7 - Eich;*;Interés general;Radio;Rauch;Buenos Aires;Interés general;0
FM 95.7 - El Socorro;*;Interés general;Radio;El Socorro;Buenos Aires;Interés general;0
FM 95.7 - La Rocka;*;Interés general;Radio;Junín;Buenos Aires;Interés general;0
FM 95.7 - Planeta;*;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 95.7 - Universidad;Diagonal J. B. Alberdi 2695 - (7600) Mar del Plata - Buenos Aires, Argentina ;Interés general;Radio;Mar del Plata;Buenos Aires;Interés general;0
FM 95.7 - X Press;*;Música;Radio;Morón;Buenos Aires;Música;0
FM 95.9 - Ser;Calle 29 Nº 812 - (7107) Santa Teresita - Buenos Aires, Argentina;Interés general;Radio;Santa Teresita;Buenos Aires;Interés general;0
FM 95.9 - Urbana;*;Interés general;Radio;Necochea;Buenos Aires;Interés general;0
FM 96.1 - Alfa;*;Interés general;Radio;Pergamino;Buenos Aires;Interés general;0
FM 96.1 - Plus;*;Interés general;Radio;Quilmes;Buenos Aires;Interés general;0
FM 96.1 - San Miguel;*;Música;Radio;San Miguel;Buenos Aires;Música;0
FM 96.1 - Viva;*;*;Radio;San Fernando;Catamarca;*;0
FM 96.3 - Digital News;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 96.3 - Mas ;*;Interés general;Radio;Lincoln;Buenos Aires;Interés general;0
FM 96.3 - Mass;calle 816 e/805 y 807 de Villa Arias, Zeballos - Florencio Varela - Buenos Aires, Argentina;Interés general;Radio;Florencio Varela;Buenos Aires;Interés general;0
FM 96.3 - Sarandí;*;Interés general;Radio;Sarandí;Buenos Aires;Interés general;0
FM 96.5 - Bis;*;Música;Radio;Chascomús;Buenos Aires;Música;0
FM 96.5 - Cosecha;*;Religión;Radio;Caseros;Buenos Aires;Religión;0
FM 96.5 - Crazy;Calle 105 Nro 1575 - (7107) Santa Teresita - Buenos Aires, Argentina;Música;Radio;Santa Teresita;Buenos Aires;Música;0
FM 96.5 - La Centro;*;Interés general;Radio;Los Toldos;Buenos Aires;Interés general;0
FM 96.5 - News;*;Interés general;Radio;Arrecifes;Buenos Aires;Interés general;0
FM 96.5 - Platinum;*;Interés general;Radio;Andalgala;Catamarca;Interés general;0
FM 96.7 - Manantial;*;Religión;Radio;Junín;Buenos Aires;Religión;0
FM 96.7 - Plus;*;Interés general;Radio;La Plata;Buenos Aires;Interés general;0
FM 96.9 - Antena Gospel;*;Interés general;Radio;Lomas de Zamora;Buenos Aires;Interés general;0
FM 96.9 - Baradero;Oro 424 - (7620) Baradero - Buenos Aires, Argentina;Interés general;Radio;Baradero;Buenos Aires;Interés general;0
FM 96.9 - Bien Argentina;Arabolaza 1834 - (6700) Luján - Buenos Aires, Argentina;Interés general;Radio;Luján;Buenos Aires;Interés general;0
FM 96.9 - Bis;*;Interés general;Radio;San Bernardo;Buenos Aires;Interés general;0
FM 96.9 - Futuro;*;Interés general;Radio;Necochea;Buenos Aires;Interés general;0
FM 96.9 - Power;*;Interés general;Radio;N. de la Riestra;Buenos Aires;Interés general;0
FM 97.1 - 97 FM;*;Interés general;Radio;Olavarría;Buenos Aires;Interés general;0
FM 97.1 - Cadena OM;*;Música;Radio;San Clemente del Tuyú;Buenos Aires;Música;0
FM 97.1 - City Rock;*;Música;Radio;Pergamino;Buenos Aires;Música;0
FM 97.1 - Concepto;Di Geronimo 322 -Trenque Lauquen - Buenos Aires, Argentina ;Deportes;Radio;Trenque Lauquen;Buenos Aires;Deportes;0
FM 97.1 - Filadelfia;*;Religión;Radio;Isidro Casanova;Buenos Aires;Religión;0
FM 97.1 - Fuego;*;Interés general;Radio;Lanús;Buenos Aires;Interés general;0
FM 97.1 - La 97;*;Música;Radio;Florencio Varela;Buenos Aires;Música;0
FM 97.1 - Nativa;Ruta 11 Km 397, frente a rotonda de Valeria del Mar - (7167) Pinamar - Buenos Aires, Argentina  ;Interés general;Radio;Pinamar;Buenos Aires;Interés general;0
FM 97.1 - Super;*;Interés general;Radio;Lincoln;Buenos Aires;Interés general;0
FM 97.1 - Villalonga;Santa Cruz 90 - (8512) Villalonga - Buenos Aires, Argentina  ;Interés general;Radio;Villalonga;Buenos Aires;Interés general;0
FM 97.1 - Winners;*;Interés general;Radio;Cañuelas;Buenos Aires;Interés general;0
FM 97.3 - Compacto;*;Música;Radio;Bahía Blanca;Buenos Aires;Música;0
FM 97.3 - Madariaga;*;Interés general;Radio;Gral. Madariaga;Buenos Aires;Interés general;0
FM 97.3 - Manantial;Martín Fierro 1520 - (8150) Coronel Dorrego - Buenos Aires, Argentina;Interés general;Radio;Coronel Dorrego;Buenos Aires;Interés general;0
FM 97.3 - Occidente;*;Interés general;Radio;Virreyes;Buenos Aires;Interés general;0
FM 97.3 - Por Siempre;*;Interés general;Radio;Chascomús;Buenos Aires;Interés general;0
FM 97.3 - Siempre;*;Música;Radio;Mar del Plata;Buenos Aires;Música;0
FM 97.5 - Good Music;*;Música;Radio;Temperley;Buenos Aires;Música;0
FM 97.5 - Ibiza;*;Música;Radio;Chivilcoy;Buenos Aires;Música;0
FM 97.5 - La 975;*;Interés general;Radio;Navarro;Buenos Aires;Interés general;0
FM 97.5 - La Perla;*;Interés general;Radio;Andalgala;Catamarca;Interés general;0
FM 97.5 - Mega;*;Interés general;Radio;Punta Alta;Buenos Aires;Interés general;0
FM 97.5 - Río;*;Música;Radio;Arrecifes;Buenos Aires;Música;0
FM 97.7 - Clubber;*;Interés general;Radio;Junín;Buenos Aires;Interés general;0
FM 97.7 - La 100;*;*;Radio;Poman;Catamarca;*;0
FM 97.7 - Platinum;*;Interés general;Radio;Luján;Buenos Aires;Interés general;0
FM 97.7 - Vida;*;Música;Radio;Rojas;Buenos Aires;Música;0
FM 97.9 - Activa;*;Interés general;Radio;Gonzales Chaves;Buenos Aires;Interés general;0
FM 97.9 - Altos;Liniers 448 - (8001) Bahía Blanca - Buenos Aires, Argentina ;Interés general;Radio;Bahía Blanca;Buenos Aires;Interés general;0
FM 97.9 - Pacífico;*;*;Radio;Morón;Buenos Aires;*;0
FM 98.1 - 98 Pop;*;*;Radio;Olavarría;Buenos Aires;*;0
