Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
Diario C;Rojas 263 - (4700) San Fernando del Valle de Catamarca - Catamarca, Argentina;Interés general;Digital;San Fernando;Catamarca;Interés general;0
Diario Ciudad ;*;Interés general;Periódico;Ramallo;Buenos Aires;Interés general;0
Diario Codigo de Noticias ;*;Interés general;Periódico;Saladillo;Buenos Aires;Interés general;0
Diario De Chivilcoy ;*;Interés general;Periódico;Chivilcoy;Buenos Aires;Interés general;0
Diario de Madryn;9 de Julio 367 -  Pto. Madryn - Chubut, Argentina ;Interés general;Periódico;Puerto Madryn;Chubut;Interés general;0
Diario de Madryn (Digital);9 de Julio 367 -  Pto. Madryn - Chubut, Argentina ;Interés general;Digital;Puerto Madryn;Chubut;Interés general;0
Diario del Sur Digital ;Rawson 114 - (3200) Concordia - Entre Ríos, Argentina;Interés general;Digital;Concordia;Entre Ríos;Interés general;0
Don Torcuato;*;Interés general;Periódico;Don Torcuato;Buenos Aires;Interés general;0
El Comercio;*;Interés general;Periódico;Tigre;Buenos Aires;Interés general;0
El Nuevo Cronista ;Calle 5 Nº 619, Entre 26 y 28 - (6600) Mercedes - Buenos Aires, Argentina;Interés general;Periódico;Mercedes;Buenos Aires;Interés general;0
El Nuevo Cronista (Digital);Calle 5 Nº 619, Entre 26 y 28 - (6600) Mercedes - Buenos Aires, Argentina;Interés general;Digital;Mercedes;Buenos Aires;Interés general;0
El Diario;*;Interés general;Periódico;Luján;Buenos Aires;Interés general;0
El Norte (Digital);Francia 64 - (2900) San Nicolás - Buenos Aires, Argentina;Interés general;Digital;San Nicolás de los Arroyos;Buenos Aires;Interés general;0
El Nuevo Diario Rojense;*;Interés general;Periódico;Rojas;Buenos Aires;Interés general;0
Resumen;San Martín 128 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Periódico;Pilar;Buenos Aires;Interés general;0
Resumen (Digital);San Martín 128 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
El Talar;*;Interés general;Periódico;Talar de Pacheco;Buenos Aires;Interés general;0
Emisora 25 ;*;Interés general;Periódico;25 de Mayo;Buenos Aires;Interés general;0
General Pacheco;*;Interés general;Periódico;General Pacheco ;Buenos Aires;Interés general;0
Hoy Chivilcoy ;*;Interés general;Periódico;Chivilcoy;Buenos Aires;Interés general;0
Info Chivilcoy ;*;Interés general;Periódico;Chivilcoy;Buenos Aires;Interés general;0
Info Lobos;*;Interés general;Digital;Lobos;Buenos Aires;Interés general;0
Informe Periodico;*;Interés general;Periódico;Tigre;Buenos Aires;Interés general;0
La Libertad ;*;Interés general;Periódico;San Antonio de Areco;Buenos Aires;Interés general;0
La Opinión de Mercedes;Avenida 16 Nº 462 - (6600) Mercedes - Buenos Aires, Argentina;Interés general;Periódico;Mercedes;Buenos Aires;Interés general;0
La Sintesis;*;Interés general;Periódico;Saladillo;Buenos Aires;Interés general;0
Mercedes Ya ;*;Interés general;Digital;Mercedes;Buenos Aires;Interés general;0
Diario Navarro;*;Interés general;Periódico;Navarro;Buenos Aires;Interés general;0
Diario Noticias ;*;Interés general;Periódico;Baradero;Buenos Aires;Interés general;0
Noticias Mercedinas.com ;*;Interés general;Periódico;Mercedes;Buenos Aires;Interés general;0
Diario NP;*;Interés general;Periódico;San Miguel;Buenos Aires;Interés general;0
Periodismo.com;*;Interés general;Digital;;Capital Federal;Interés general;0
Pilar de Todos;San Martín 599, 1º Piso, Of. 15, Galería Pilar Plaza 15 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
Diario Reseña Informativa ;*;Interés general;Periódico;San Antonio de Areco;Buenos Aires;Interés general;0
Diario Salto en Red;*;Interés general;Periódico;Salto;Buenos Aires;Interés general;0
Diario Vive ;*;Interés general;Periódico;Chacabuco;Buenos Aires;Interés general;0
Diario Zarate Informa;*;Interés general;Periódico;Zárate;Buenos Aires;Interés general;0
Diario Zona Chivilcoy ;*;Interés general;Periódico;Chivilcoy;Buenos Aires;Interés general;0
DiarioChaco.com;Colón 572 - (3500) Resistencia - Chaco, Argentina;Interés general;Digital;Resistencia;Chaco;Interés general;0
DiarioShow.com;*;Interés general;Digital;;Capital Federal;Interés general;0
DYN;Julio A. Roca 636, 8º Piso - (1067) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Agencia;;Capital Federal;Interés general;0
El Autonomista de Pte. Derqui;B. Balcarce 1871 – (1629) Pilar - Buenos Aires, Argentina;Interés general;Periódico;Derqui;Buenos Aires;Interés general;0
El Depornauta;*;Interés general;Digital;;Capital Federal;Interés general;0
El Derquino;Pacheco 1154 - (1629) Derqui - Buenos Aires, Argentina;Interés general;Periódico;Derqui;Buenos Aires;Interés general;0
El Diario Regional de Pilar;Pedro Lagrave 254 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Periódico;Pilar;Buenos Aires;Interés general;0
El Diario Regional de Pilar (Digital);Pedro Lagrave 254 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
El Regional ;*;Interés general;Periódico;Marcos Paz;Buenos Aires;Interés general;0
El Territorio;Av. 40 y Humberto Pérez - (3300) Posadas - Misiones, Argentina;Interés general;Periódico;Posadas;Misiones;Interés general;0
El Territorio (Digital);Av. 40 y Humberto Pérez - (3300) Posadas - Misiones, Argentina;Interés general;Digital;Posadas;Misiones;Interés general;0
Corzuela Online;*;Interés general;Digital;Corzuela;Chaco;Interés general;0
El Libertario.com;*;Interés general;Digital;San Salvador de Jujuy;Jujuy;Interés general;0
Empresas News.com;*;Economía;Digital;;Capital Federal;Economía;0
En Positivo;*;Interés general;Digital;;Capital Federal;Interés general;0
FM 89.3 - Alba;Bolivia 109, 1º Piso - (4560) Tartagal - Salta, Argentina ;Interés general;Radio;Tartagal;Salta;Interés general;0
FM Identidad;*;Interés general;Radio;*;Buenos Aires;Interés general;0
FormosaAhora.com.ar;*;Interés general;Digital;Formosa;Formosa;Interés general;0
Gente BA;*;Interés general;Digital;;Capital Federal;Interés general;0
Gestión en salud;*;Salud;Revista;;Capital Federal;Salud;0
Gracias Doctor;Av. De los Incas 3390, 2º Piso, Of. 2 - (1426) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Revista;;Capital Federal;Salud;0
HiperCrítico.com;*;Interés general;Digital;;Capital Federal;Interés general;0
Hola Paciente;*;Salud;Digital;;Capital Federal;Salud;0
Hora de Informarse;*;Interés general;Periódico;Marcos Paz;Buenos Aires;Interés general;0
Imass;*;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Impulso Baires;*;Interés general;Digital;La Plata;Buenos Aires;Interés general;0
Infobae.com;Fitz Roy 1940 - (1414) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
InfoBAN;*;Interés general;Digital;*;Buenos Aires;Interés general;0
InfoChubut.com;Zapiola 67 - (9100) Trelew - Chubut, Argentina;Interés general;Digital;Trelew;Chubut;Interés general;0
Informatesalta.com.ar;Santiago del Estero 1519, Dto. A - (4400) Salta - Salta, Argentina;Interés general;Periódico;Salta;Salta;Interés general;0
Informatesalta.com.ar (Digital);Santiago del Estero 1519, Dto. A - (4400) Salta - Salta, Argentina;Interés general;Digital;Salta;Salta;Interés general;0
InterCountries;*;Interés general;Revista;Pilar;Buenos Aires;Interés general;0
IntraMed;Fray Justo Sarmiento 2350 - (1636) Olivos - Buenos Aires, Argentina;Salud;Digital;;Capital Federal;Salud;0
Inversor Salud;Costa Rica 5176 - (1414) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Digital;;Capital Federal;Salud;0
La Novena;C. Calvo 1754 - (1669) Del Viso - Buenos Aires, Argentina;Interés general;Periódico;Del Viso;Buenos Aires;Interés general;0
La Tercera;Sofía T. de Santamarina 575 - (1842) Monte Grande - Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
La Voz 90.1 (Digital);Urquiza 1391 - (3100) Parana - Entre Rios, Argentina;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
lapoliticaonline;*;Política;Digital;;Capital Federal;Política;0
LineaCapital;Pedro Méndez 2023 - (3300) Posadas - Misiones, Argentina;Interés general;Digital;Posadas;Misiones;Interés general;0
Link Informativo;*;Interés general;Digital;;Capital Federal;Interés general;0
LT14;Av. Rivadavia 126 - (3100) Paraná - Entre Ríos, Argentina ;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
mdzol.com;25 de Mayo 1553 - (5500) Mendoza - Mendoza, Argentina ;Interés general;Digital;Mendoza;Mendoza;Interés general;0
MedicosConsultores.com;*;Interés general;Digital;;Capital Federal;Interés general;0
Mega 24;*;Interés general;Digital;Corrientes;Corrientes;Interés general;0
Minutouno.com;Jean Jaures 661 - (1215) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
MiradorNacional.com;*;Interés general;Digital;;Capital Federal;Interés general;0
Misiolandia;*;Interés general;Digital;Posadas;Misiones;Interés general;0
Misiones Online;Colon 1628, 7º Piso - (3300) Posadas - Misiones, Argentina;Interés general;Digital;Posadas;Misiones;Interés general;0
momarandu.com;*;Interés general;Digital;Corrientes;Corrientes;Interés general;0
