"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"Quilmes","Policiales","Digital","1.0"
"Quilmes","Religión","Radio","1.0"
"Rafael Calzada","*","Radio","1.0"
"Rafael Calzada","Folclore","Radio","1.0"
"Rafael Calzada","Interés general","Radio","1.0"
"Rafael Castillo","Interés general","Radio","2.0"
"Ramallo","Interés general","Digital","2.0"
"Ramallo","Interés general","Periódico","2.0"
"Ramallo","Interés general","Radio","2.0"
"Ramos Mejía","Interés general","Digital","2.0"
"Ramos Mejía","Interés general","Periódico","4.0"
"Ramos Mejía","Interés general","Radio","3.0"
"Ramos Mejía","Interés general","Revista","1.0"
"Ramos Mejía","Interés general","Televisión","1.0"
"Ramos Mejía","Música","Radio","1.0"
"Ranchos","Interés general","Digital","2.0"
"Ranchos","Interés general","Periódico","2.0"
"Ranchos","Interés general","Radio","2.0"
"Rauch","Interés general","Digital","4.0"
"Rauch","Interés general","Periódico","3.0"
"Rauch","Interés general","Radio","4.0"
"Rauch","Interés general","Televisión","1.0"
"R de Escalada","Deportes","Digital","1.0"
"Remedios de Escalada","Interés general","Digital","2.0"
"Remedios de Escalada","Interés general","Periódico","3.0"
"Reta","Interés general","Digital","1.0"
"Río Gallegos","Interés general","Periódico","1.0"
"Rivadavia","Interés general","Radio","1.0"
"Rivera","Interés general","Radio","2.0"
"Rojas","*","Digital","1.0"
"Rojas","*","Periódico","1.0"
"Rojas","Interés general","Digital","4.0"
"Rojas","Interés general","Periódico","5.0"
"Rojas","Interés general","Radio","3.0"
"Rojas","Interés general","Televisión","1.0"
"Rojas","Música","Radio","1.0"
"Roque Peréz","Interés general","Radio","2.0"
"Roque Pérez","Interés general","Digital","2.0"
"Roque Pérez","Interés general","Periódico","2.0"
"Saavedra","Interés general","Radio","2.0"
"Saladillo","Deportes","Digital","2.0"
"Saladillo","Interés general","Digital","8.0"
"Saladillo","Interés general","Periódico","3.0"
"Saladillo","Interés general","Radio","7.0"
"Salazar","Interés general","Radio","1.0"
"Salliqueló","*","Radio","2.0"
"Salliqueló","Interés general","Digital","2.0"
"Salliqueló","Interés general","Periódico","1.0"
"Salto","Deportes","Digital","2.0"
"Salto","Interés general","Agencia","1.0"
"Salto","Interés general","Digital","4.0"
"Salto","Interés general","Periódico","4.0"
"Salto","Interés general","Radio","5.0"
"Salto","Música","Radio","2.0"
"San A. de Areco","Interés general","Radio","1.0"
"San Andrés","Interés general","Radio","1.0"
"San Andrés de Giles","Interés general","Digital","2.0"
"San Andrés de Giles","Interés general","Periódico","1.0"
"San Andrés de Giles","Interés general","Radio","2.0"
"San Antonio de Areco","Interés general","Digital","2.0"
"San Antonio de Areco","Interés general","Periódico","5.0"
"San Antonio de Areco","Interés general","Radio","5.0"
"San Antonio de Padua","Interés general","Radio","1.0"
"San Bernardo","*","Radio","2.0"
"San Bernardo","Interés general","Digital","2.0"
"San Bernardo","Interés general","Periódico","2.0"
"San Bernardo","Interés general","Radio","6.0"
"San Cayetano","Interés general","Radio","1.0"
"San Cayetano","Interés general","Televisión","1.0"
"San Clemente","Interés general","Radio","1.0"
"San Clemente del Tuyú","Interés general","Radio","4.0"
"San Clemente del Tuyú","Interés general","Televisión","1.0"
"San Clemente del Tuyú","Música","Radio","1.0"
"San Fco. Solano","Interés general","Radio","1.0"
"San Fernando","Interés general","Digital","4.0"
"San Fernando","Interés general","Periódico","1.0"
"San Fernando","Interés general","Radio","3.0"
"San Fernando","Interés general","Televisión","1.0"
"San Francisco Solano","Interés general","Radio","1.0"
"San Genaro","Interés general","Televisión","1.0"
"San Isidro","*","Digital","1.0"
"San Isidro","*","Periódico","1.0"
"San Isidro","*","Radio","1.0"
"San Isidro","Interés general","Digital","4.0"
"San Isidro","Interés general","Periódico","3.0"
"San Isidro","Interés general","Radio","4.0"
"San Isidro","Interés general","Revista","1.0"
"San Isidro","Música","Radio","2.0"
"San Isidro","Salud","Digital","1.0"
"San Isidro, Vicente López y otros","Interés general","Digital","1.0"
"San Justo","*","Radio","1.0"
"San Justo","Interés general","Digital","8.0"
"San Justo","Interés general","Periódico","4.0"
"San Justo","Interés general","Radio","13.0"
"San Justo","Interés general","Revista","1.0"
"San Justo","Interés general","Televisión","1.0"
"San Justo","Música","Radio","2.0"
"San Justo","Religión","Radio","2.0"
"San Martín","Deportes","Digital","6.0"
"San Martín","Interés general","Digital","5.0"
"San Martín","Interés general","Periódico","3.0"
"San Martín","Interés general","Radio","5.0"
"San Martín","Interés general","Revista","1.0"
"San Martín","Interés general","Televisión","2.0"
"San Martín","Música","Digital","1.0"
"San Martín","Música","Radio","1.0"
"San Miguel","*","Radio","1.0"
"San Miguel","Interés general","Digital","1.0"
"San Miguel","Interés general","Periódico","3.0"
"San Miguel","Interés general","Radio","4.0"
"San Miguel","Interés general","Televisión","1.0"
"San Miguel","Música","Radio","2.0"
"San Miguel del Monte","Interés general","Digital","1.0"
"San Miguel del Monte","Interés general","Periódico","1.0"
"San Miguel del Monte","Interés general","Radio","1.0"
"San Miguel del Monte","Música","Radio","1.0"
"San Nicolás","*","Radio","1.0"
"San Nicolás","Deportes","Digital","1.0"
"San Nicolás","Espectáculo","Radio","1.0"
"San Nicolás","Interés general","Periódico","2.0"
"San Nicolás","Interés general","Radio","9.0"
"San Nicolás","Interés general","Televisión","1.0"
"San Nicolás de los Arroyos","Deportes","Revista","1.0"
"San Nicolás de los Arroyos","Interés general","Digital","3.0"
"San Nicolás de los Arroyos","Interés general","Periódico","1.0"
"San Nicolás de los Arroyos","Interés general","Radio","6.0"
"San Pedro","Deportes","Digital","1.0"
"San Pedro","Interés general","Digital","7.0"
"San Pedro","Interés general","Periódico","4.0"
"San Pedro","Interés general","Radio","11.0"
"San Pedro","Interés general","Televisión","1.0"
"Santa María","Interés general","Radio","1.0"
"Santa Teresita","Folclore","Radio","1.0"
"Santa Teresita","Interés general","Radio","9.0"
"Santa Teresita","Interés general","Televisión","1.0"
"Santa Teresita","Música","Radio","1.0"
"Santa Teresita","Turismo","Digital","1.0"
"San Vicente","Interés general","Digital","1.0"
"San Vicente","Interés general","Periódico","1.0"
"San Vicente","Interés general","Radio","1.0"
"Sarandí","Interés general","Periódico","3.0"
"Sarandí","Interés general","Radio","2.0"
"S. Clara del Mar","Interés general","Digital","1.0"
"S. Clara del Mar","Interés general","Periódico","1.0"
"S. Clara del Mar","Interés general","Radio","1.0"
"S. de la Ventana","Interés general","Radio","1.0"
"S. de los Padres","Interés general","Periódico","1.0"
"S. de los Padres","Interés general","Radio","1.0"
"Sierra de la Ventana","Interés general","Radio","2.0"
"Suipacha","Interés general","Periódico","1.0"
"Suipacha","Interés general","Radio","3.0"
"Talar de Pacheco","Interés general","Digital","1.0"
"Talar de Pacheco","Interés general","Periódico","1.0"
"Talar de Pacheco","Interés general","Radio","1.0"
"Tandil","*","Radio","1.0"
"Tandil","Agropecuario","Periódico","1.0"
"Tandil","Deportes","Digital","2.0"
"Tandil","Interés general","Digital","8.0"
"Tandil","Interés general","Periódico","6.0"
"Tandil","Interés general","Radio","19.0"
"Tandil","Interés general","Televisión","1.0"
"Tandil","Música","Radio","4.0"
"Tapalqué","Interés general","Digital","1.0"
"Tapalqué","Interés general","Periódico","1.0"
"Tapalqué","Interés general","Radio","2.0"
"Tapalqué","Música","Radio","1.0"
"Tapiales","Interés general","Radio","1.0"
"Tapiales","Música","Radio","1.0"
"Temperley","Deportes","Digital","5.0"
"Temperley","Deportes","Radio","1.0"
"Temperley","Interés general","Radio","3.0"
"Temperley","Música","Radio","1.0"
"Tigre","*","Digital","1.0"
"Tigre","Deportes","Digital","1.0"
"Tigre","Deportes","Periódico","1.0"
"Tigre","Interés general","Digital","2.0"
"Tigre","Interés general","Periódico","5.0"
"Tigre","Interés general","Radio","5.0"
"Tigre","Interés general","Revista","2.0"
"Tornquist","*","Radio","1.0"
"Tornquist","Deportes","Digital","1.0"
"Tornquist","Interés general","Digital","2.0"
"Tornquist","Interés general","Radio","1.0"
"Tortuguitas","Interés general","Digital","1.0"
"Tortuguitas","Interés general","Periódico","1.0"
"Trenque Lauquen","*","Radio","1.0"
"Trenque Lauquen","Deportes","Digital","1.0"
"Trenque Lauquen","Deportes","Radio","1.0"
"Trenque Lauquen","Interés general","Digital","6.0"
"Trenque Lauquen","Interés general","Periódico","1.0"
"Trenque Lauquen","Interés general","Radio","5.0"
"Trenque Lauquen","Interés general","Televisión","2.0"
"Trenque Lauquen","Música","Radio","1.0"
"Tres Algarrobos","Interés general","Radio","1.0"
"Tres Arroyos","*","Radio","1.0"
"Tres Arroyos","Agropecuario","Digital","1.0"
"Tres Arroyos","Deportes","Digital","1.0"
"Tres Arroyos","Interés general","Digital","5.0"
"Tres Arroyos","Interés general","Periódico","4.0"
"Tres Arroyos","Interés general","Radio","8.0"
"Tres de Febrero","Interés general","Digital","2.0"
"Tres Lomas","Interés general","Digital","1.0"
"Tres Lomas","Interés general","Periódico","1.0"
"Tres Lomas","Interés general","Radio","2.0"
"Tristán Suárez","Interés general","Radio","2.0"
"Valentín Alsina","Interés general","Radio","1.0"
"Vedia","*","Radio","1.0"
"Vedia","Interés general","Digital","1.0"
"Vedia","Interés general","Periódico","2.0"
"Vedia","Interés general","Radio","1.0"
"Verónica","Interés general","Radio","2.0"
"Vicente López","Deportes","Digital","1.0"
"Vicente López","Interés general","Digital","2.0"
"Vicente López","Interés general","Periódico","2.0"
"Vicente López","Interés general","Radio","1.0"
"Vicente López","Interés general","Televisión","1.0"
"Vicente López","Música","Radio","1.0"
"Victoria","*","Radio","2.0"
"Villa Adelina","Entretenimiento","Digital","2.0"
"Villa Ballester","Interés general","Periódico","1.0"
"Villa Ballester","Interés general","Radio","1.0"
"Villa Bosch","Interés general","Radio","2.0"
"Villa Celina","Religión","Radio","1.0"
"Villa Dominico","Interés general","Radio","1.0"
"Villa Dominico","Religión","Radio","1.0"
"Villa Gesell","Interés general","Digital","6.0"
"Villa Gesell","Interés general","Periódico","2.0"
"Villa Gesell","Interés general","Radio","14.0"
"Villa Gesell","Interés general","Televisión","1.0"
"Villa Gesell","Música","Radio","2.0"
"Villa Iris","Música","Radio","1.0"
"Villalonga","Interés general","Radio","1.0"
"Villa Luzuriaga, La Matanza","Interés general","Radio","1.0"
"Villa Lynch","Interés general","Radio","1.0"
"Villa Madero","Interés general","Radio","1.0"
"Villa Maipú","Interés general","Radio","1.0"
"Villa Martelli","Deportes","Digital","1.0"
"Villa Martelli","Interés general","Radio","1.0"
"Villa Martelli","Música","Radio","1.0"
"Villa Maza","Interés general","Periódico","1.0"
"Villa Sáenz Peña","Interés general","Radio","1.0"
"Virreyes","Interés general","Radio","1.0"
"Wilde","*","Revista","1.0"
"Wilde","Interés general","Radio","4.0"
"Zárate","*","Radio","1.0"
"Zárate","Interés general","Digital","3.0"
"Zárate","Interés general","Periódico","4.0"
"Zárate","Interés general","Radio","9.0"
"Zárate","Música","Radio","1.0"
